task,task_no,source
conduct or support research and apply research findings to practice.,Drive eller støtte forskning og anvende forskningsfunn i praksis.,manual 2026-09-07
write research reports and other publications to document and communicate research findings.,Skrive forskningsrapporter og andre publikasjoner for å dokumentere og formidle forskningsfunn.,manual 2026-09-07
"assess nutritional needs, diet restrictions and current health plans to develop and implement dietary-care plans and provide nutritional counseling.","Vurdere ernæringsbehov, kostrestriksjoner og gjeldende helseplaner for å utarbeide og gjennomføre kostholdsplaner og gi ernæringsveiledning.",manual 2026-09-07
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.","Gi pasienter og pårørende råd om ernæringsprinsipper, kostplaner og kostendringer, samt valg og tilberedning av mat.",manual 2026-09-07
assist students who need extra help with their coursework outside of class.,Hjelpe studenter som trenger ekstra støtte med fagene utenom undervisningen.,manual 2026-09-07
review manuscripts for publication in books and professional journals.,Vurdere manuskripter for publisering i bøker og fagtidsskrifter.,manual 2026-09-07
prepare and deliver lectures to undergraduate or graduate students on topics such as how to speak and write a foreign language and the cultural aspects of areas where a particular language is used.,Forberede og holde forelesninger for studenter på bachelor- og masternivå om emner som muntlig og skriftlig bruk av et fremmedspråk og kulturen i områdene der språket brukes.,manual 2026-09-07
"review papers or serve on editorial boards for scientific journals, and review grant proposals for various agencies.","Fagfellevurdere artikler eller sitte i redaksjonsråd for vitenskapelige tidsskrifter, og vurdere søknader om forskningsmidler for ulike instanser.",manual 2026-09-07
"prepare and deliver lectures to undergraduate or graduate students on topics such as quantum mechanics, particle physics, and optics.","Forberede og holde forelesninger for studenter på bachelor- og masternivå om emner som kvantemekanikk, partikkelfysikk og optikk.",manual 2026-09-07
"review papers or serve on editorial boards for scientific journals, and review grant proposals for federal agencies.","Fagfellevurdere artikler eller sitte i redaksjonsråd for vitenskapelige tidsskrifter, og vurdere søknader om forskningsmidler for føderale etater.",manual 2026-09-07
review papers for publication in journals.,Fagfellevurdere artikler for publisering i tidsskrifter.,manual 2026-09-07
edit manuscripts for professional journals.,Redigere manuskripter for fagtidsskrifter.,manual 2026-09-07
"provide professional consulting services to government, educational institutions, or industry.","Yte faglig rådgivning til myndigheter, utdanningsinstitusjoner eller næringsliv.",manual 2026-09-07
provide assistance to students in college writing centers.,Hjelpe studenter ved skrivesentre på høyskoler og universiteter.,manual 2026-09-07
write original literary pieces.,Skrive egne skjønnlitterære tekster.,manual 2026-09-07
review papers for colleagues and scientific journals.,Vurdere artikler for kolleger og vitenskapelige tidsskrifter.,manual 2026-09-07
"evaluate and grade examinations, assignments, or papers and record grades.","Vurdere og sette karakter på eksamener, oppgaver og innleveringer, og registrere karakterene.",manual 2026-09-07
"observe and evaluate students' work to determine progress, provide feedback, and make suggestions for improvement.","Observere og vurdere elevenes arbeid for å følge fremgangen, gi tilbakemelding og foreslå forbedringer.",manual 2026-09-07
"develop teaching aids such as instructional software, multimedia visual aids, or study materials.","Utvikle undervisningshjelpemidler som læringsprogramvare, multimediebaserte hjelpemidler og studiemateriell.",manual 2026-09-07
"instruct students in the knowledge and skills required in a specific occupation or occupational field, using a systematic plan of lectures, discussions, audio-visual presentations, and laboratory, shop and field studies.","Undervise elever i kunnskapen og ferdighetene et bestemt yrke eller fagfelt krever, etter en systematisk plan med forelesninger, diskusjoner, audiovisuelle presentasjoner og laboratorie-, verksted- og feltarbeid.",manual 2026-09-07
"conduct on-the-job training classes or training sessions to teach and demonstrate principles, techniques, procedures, or methods of designated subjects.","Holde kurs eller opplæring på arbeidsplassen for å lære bort og demonstrere prinsipper, teknikker, prosedyrer og metoder i bestemte emner.",manual 2026-09-07
develop curricula and plan course content and methods of instruction.,Utvikle læreplaner og planlegge kursinnhold og undervisningsmetoder.,manual 2026-09-07
"prepare, administer, and grade tests and assignments to evaluate students' progress.","Utarbeide, gjennomføre og rette prøver og oppgaver for å vurdere elevenes fremgang.",manual 2026-09-07
"select and assemble books, materials, supplies, and equipment for training, courses, or projects.","Velge ut og sette sammen bøker, materiell, forbruksvarer og utstyr til opplæring, kurs eller prosjekter.",manual 2026-09-07
"plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.","Planlegge og gjennomføre aktiviteter i et balansert opplegg med undervisning, demonstrasjon og arbeidstid som gir elevene anledning til å observere, stille spørsmål og undersøke.",manual 2026-09-07
"use computers, audio-visual aids, and other equipment and materials to supplement presentations.","Bruke datamaskiner, audiovisuelle hjelpemidler og annet utstyr og materiell for å supplere presentasjoner.",manual 2026-09-07
"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.","Undervise gjennom forelesninger, diskusjoner og demonstrasjoner i ett eller flere fag, som engelsk, matematikk eller samfunnsfag.",manual 2026-09-07
organize and label materials and display students' work.,Organisere og merke materiell og stille ut elevenes arbeid.,manual 2026-09-07
develop instructional materials to be used by educators and instructors.,Utvikle undervisningsmateriell til bruk for lærere og instruktører.,manual 2026-09-07
"develop instructional materials, such as lesson plans, handouts, or examinations.","Utvikle undervisningsmateriell som undervisningsopplegg, utdelingsark og eksamensoppgaver.",manual 2026-09-07
"edit instructional materials, such as books, simulation exercises, lesson plans, instructor guides, and tests.","Redigere undervisningsmateriell som bøker, simuleringsøvelser, undervisningsopplegg, instruktørveiledninger og prøver.",manual 2026-09-07
"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.","Analysere resultatdata for å vurdere effekten av undervisningssystemer, kurs og undervisningsmateriell.",manual 2026-09-07
develop instructional materials and products for technology-based redesign of courses.,Utvikle undervisningsmateriell og produkter for teknologibasert omlegging av kurs.,manual 2026-09-07
